"SUBJECT","Sujet","LOCATION","Pays","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1980-Q1","T1-1980","IDX","Indice","0","Unités","2010_100","2010=100",36.95821,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1980-Q2","T2-1980","IDX","Indice","0","Unités","2010_100","2010=100",38.13539,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1980-Q3","T3-1980","IDX","Indice","0","Unités","2010_100","2010=100",39.33844,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1980-Q4","T4-1980","IDX","Indice","0","Unités","2010_100","2010=100",40.438,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1981-Q1","T1-1981","IDX","Indice","0","Unités","2010_100","2010=100",41.64105,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1981-Q2","T2-1981","IDX","Indice","0","Unités","2010_100","2010=100",43.01227,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1981-Q3","T3-1981","IDX","Indice","0","Unités","2010_100","2010=100",44.69395,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1981-Q4","T4-1981","IDX","Indice","0","Unités","2010_100","2010=100",46.14278,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1982-Q1","T1-1982","IDX","Indice","0","Unités","2010_100","2010=100",47.46226,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1982-Q2","T2-1982","IDX","Indice","0","Unités","2010_100","2010=100",48.92403,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1982-Q3","T3-1982","IDX","Indice","0","Unités","2010_100","2010=100",49.60964,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1982-Q4","T4-1982","IDX","Indice","0","Unités","2010_100","2010=100",50.51516,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1983-Q1","T1-1983","IDX","Indice","0","Unités","2010_100","2010=100",51.86051,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1983-Q2","T2-1983","IDX","Indice","0","Unités","2010_100","2010=100",53.30934,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1983-Q3","T3-1983","IDX","Indice","0","Unités","2010_100","2010=100",54.44771,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1983-Q4","T4-1983","IDX","Indice","0","Unités","2010_100","2010=100",55.48259,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1984-Q1","T1-1984","IDX","Indice","0","Unités","2010_100","2010=100",56.43986,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1984-Q2","T2-1984","IDX","Indice","0","Unités","2010_100","2010=100",57.4618,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1984-Q3","T3-1984","IDX","Indice","0","Unités","2010_100","2010=100",58.43201,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1984-Q4","T4-1984","IDX","Indice","0","Unités","2010_100","2010=100",59.27285,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1985-Q1","T1-1985","IDX","Indice","0","Unités","2010_100","2010=100",60.07488,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1985-Q2","T2-1985","IDX","Indice","0","Unités","2010_100","2010=100",61.17444,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1985-Q3","T3-1985","IDX","Indice","0","Unités","2010_100","2010=100",61.74363,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1985-Q4","T4-1985","IDX","Indice","0","Unités","2010_100","2010=100",62.11877,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1986-Q1","T1-1986","IDX","Indice","0","Unités","2010_100","2010=100",62.19639,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1986-Q2","T2-1986","IDX","Indice","0","Unités","2010_100","2010=100",62.64915,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1986-Q3","T3-1986","IDX","Indice","0","Unités","2010_100","2010=100",63.03723,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1986-Q4","T4-1986","IDX","Indice","0","Unités","2010_100","2010=100",63.45118,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1987-Q1","T1-1987","IDX","Indice","0","Unités","2010_100","2010=100",64.21441,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1987-Q2","T2-1987","IDX","Indice","0","Unités","2010_100","2010=100",64.77065,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1987-Q3","T3-1987","IDX","Indice","0","Unités","2010_100","2010=100",65.15874,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1987-Q4","T4-1987","IDX","Indice","0","Unités","2010_100","2010=100",65.45627,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1988-Q1","T1-1988","IDX","Indice","0","Unités","2010_100","2010=100",65.76673,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1988-Q2","T2-1988","IDX","Indice","0","Unités","2010_100","2010=100",66.41353,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1988-Q3","T3-1988","IDX","Indice","0","Unités","2010_100","2010=100",67.00859,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1988-Q4","T4-1988","IDX","Indice","0","Unités","2010_100","2010=100",67.42254,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1989-Q1","T1-1989","IDX","Indice","0","Unités","2010_100","2010=100",67.99172,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1989-Q2","T2-1989","IDX","Indice","0","Unités","2010_100","2010=100",68.81963,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1989-Q3","T3-1989","IDX","Indice","0","Unités","2010_100","2010=100",69.28532,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1989-Q4","T4-1989","IDX","Indice","0","Unités","2010_100","2010=100",69.84158,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1990-Q1","T1-1990","IDX","Indice","0","Unités","2010_100","2010=100",70.28102,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1990-Q2","T2-1990","IDX","Indice","0","Unités","2010_100","2010=100",70.90042,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1990-Q3","T3-1990","IDX","Indice","0","Unités","2010_100","2010=100",71.42832,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1990-Q4","T4-1990","IDX","Indice","0","Unités","2010_100","2010=100",72.14275,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1991-Q1","T1-1991","IDX","Indice","0","Unités","2010_100","2010=100",72.64249,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1991-Q2","T2-1991","IDX","Indice","0","Unités","2010_100","2010=100",73.23373,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1991-Q3","T3-1991","IDX","Indice","0","Unités","2010_100","2010=100",73.71588,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1991-Q4","T4-1991","IDX","Indice","0","Unités","2010_100","2010=100",74.31065,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1992-Q1","T1-1992","IDX","Indice","0","Unités","2010_100","2010=100",74.66258,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1992-Q2","T2-1992","IDX","Indice","0","Unités","2010_100","2010=100",75.23624,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1992-Q3","T3-1992","IDX","Indice","0","Unités","2010_100","2010=100",75.28902,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1992-Q4","T4-1992","IDX","Indice","0","Unités","2010_100","2010=100",75.66207,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1993-Q1","T1-1993","IDX","Indice","0","Unités","2010_100","2010=100",76.26036,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1993-Q2","T2-1993","IDX","Indice","0","Unités","2010_100","2010=100",76.7601,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1993-Q3","T3-1993","IDX","Indice","0","Unités","2010_100","2010=100",76.91144,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1993-Q4","T4-1993","IDX","Indice","0","Unités","2010_100","2010=100",77.24929,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1994-Q1","T1-1994","IDX","Indice","0","Unités","2010_100","2010=100",77.55547,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1994-Q2","T2-1994","IDX","Indice","0","Unités","2010_100","2010=100",78.06226,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1994-Q3","T3-1994","IDX","Indice","0","Unités","2010_100","2010=100",78.1608,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1994-Q4","T4-1994","IDX","Indice","0","Unités","2010_100","2010=100",78.4881,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1995-Q1","T1-1995","IDX","Indice","0","Unités","2010_100","2010=100",78.92097,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1995-Q2","T2-1995","IDX","Indice","0","Unités","2010_100","2010=100",79.33626,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1995-Q3","T3-1995","IDX","Indice","0","Unités","2010_100","2010=100",79.57557,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1995-Q4","T4-1995","IDX","Indice","0","Unités","2010_100","2010=100",80.04364,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1996-Q1","T1-1996","IDX","Indice","0","Unités","2010_100","2010=100",80.58562,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1996-Q2","T2-1996","IDX","Indice","0","Unités","2010_100","2010=100",81.20853,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1996-Q3","T3-1996","IDX","Indice","0","Unités","2010_100","2010=100",81.02905,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1996-Q4","T4-1996","IDX","Indice","0","Unités","2010_100","2010=100",81.35635,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1997-Q1","T1-1997","IDX","Indice","0","Unités","2010_100","2010=100",81.75755,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1997-Q2","T2-1997","IDX","Indice","0","Unités","2010_100","2010=100",81.95815,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1997-Q3","T3-1997","IDX","Indice","0","Unités","2010_100","2010=100",82.06725,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1997-Q4","T4-1997","IDX","Indice","0","Unités","2010_100","2010=100",82.29953,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1998-Q1","T1-1998","IDX","Indice","0","Unités","2010_100","2010=100",82.36992,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1998-Q2","T2-1998","IDX","Indice","0","Unités","2010_100","2010=100",82.7676,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1998-Q3","T3-1998","IDX","Indice","0","Unités","2010_100","2010=100",82.567,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1998-Q4","T4-1998","IDX","Indice","0","Unités","2010_100","2010=100",82.51421,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1999-Q1","T1-1999","IDX","Indice","0","Unités","2010_100","2010=100",82.58108,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1999-Q2","T2-1999","IDX","Indice","0","Unités","2010_100","2010=100",83.08434,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1999-Q3","T3-1999","IDX","Indice","0","Unités","2010_100","2010=100",82.99636,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","1999-Q4","T4-1999","IDX","Indice","0","Unités","2010_100","2010=100",83.3307,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2000-Q1","T1-2000","IDX","Indice","0","Unités","2010_100","2010=100",83.78821,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2000-Q2","T2-2000","IDX","Indice","0","Unités","2010_100","2010=100",84.26684,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2000-Q3","T3-2000","IDX","Indice","0","Unités","2010_100","2010=100",84.57654,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2000-Q4","T4-2000","IDX","Indice","0","Unités","2010_100","2010=100",84.92495,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2001-Q1","T1-2001","IDX","Indice","0","Unités","2010_100","2010=100",84.88272,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2001-Q2","T2-2001","IDX","Indice","0","Unités","2010_100","2010=100",85.99483,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2001-Q3","T3-2001","IDX","Indice","0","Unités","2010_100","2010=100",86.07929,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2001-Q4","T4-2001","IDX","Indice","0","Unités","2010_100","2010=100",86.118,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2002-Q1","T1-2002","IDX","Indice","0","Unités","2010_100","2010=100",86.70925,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2002-Q2","T2-2002","IDX","Indice","0","Unités","2010_100","2010=100",87.392,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2002-Q3","T3-2002","IDX","Indice","0","Unités","2010_100","2010=100",87.60668,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2002-Q4","T4-2002","IDX","Indice","0","Unités","2010_100","2010=100",87.96565,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2003-Q1","T1-2003","IDX","Indice","0","Unités","2010_100","2010=100",88.76102,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2003-Q2","T2-2003","IDX","Indice","0","Unités","2010_100","2010=100",89.06368,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2003-Q3","T3-2003","IDX","Indice","0","Unités","2010_100","2010=100",89.29948,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2003-Q4","T4-2003","IDX","Indice","0","Unités","2010_100","2010=100",89.88721,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2004-Q1","T1-2004","IDX","Indice","0","Unités","2010_100","2010=100",90.3588,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2004-Q2","T2-2004","IDX","Indice","0","Unités","2010_100","2010=100",91.19288,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2004-Q3","T3-2004","IDX","Indice","0","Unités","2010_100","2010=100",91.34069,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2004-Q4","T4-2004","IDX","Indice","0","Unités","2010_100","2010=100",91.76653,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2005-Q1","T1-2005","IDX","Indice","0","Unités","2010_100","2010=100",91.91434,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2005-Q2","T2-2005","IDX","Indice","0","Unités","2010_100","2010=100",92.7449,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2005-Q3","T3-2005","IDX","Indice","0","Unités","2010_100","2010=100",93.05812,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2005-Q4","T4-2005","IDX","Indice","0","Unités","2010_100","2010=100",93.30799,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2006-Q1","T1-2006","IDX","Indice","0","Unités","2010_100","2010=100",93.55434,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2006-Q2","T2-2006","IDX","Indice","0","Unités","2010_100","2010=100",94.51865,,
"CPALTT01","Prix à la consommation - total","FRA","France","IXOB","Indice","Q","Trimestrielle","2006-Q3","T3-2006","IDX","Indice","0","Unités","2010_100","2010=100",94.63478,,
