"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPI","TOT","AGRWTH","Q","1974-Q4",15.00536,
"FRA","CPI","TOT","AGRWTH","Q","1975-Q1",13.94988,
"FRA","CPI","TOT","AGRWTH","Q","1975-Q2",12.16485,
"FRA","CPI","TOT","AGRWTH","Q","1975-Q3",10.93224,
"FRA","CPI","TOT","AGRWTH","Q","1975-Q4",9.925443,
"FRA","CPI","TOT","AGRWTH","Q","1976-Q1",9.566992,
"FRA","CPI","TOT","AGRWTH","Q","1976-Q2",9.406817,
"FRA","CPI","TOT","AGRWTH","Q","1976-Q3",9.551657,
"FRA","CPI","TOT","AGRWTH","Q","1976-Q4",9.961848,
"FRA","CPI","TOT","AGRWTH","Q","1977-Q1",9.021312,
"FRA","CPI","TOT","AGRWTH","Q","1977-Q2",9.852317,
"FRA","CPI","TOT","AGRWTH","Q","1977-Q3",9.905101,
"FRA","CPI","TOT","AGRWTH","Q","1977-Q4",9.194295,
"FRA","CPI","TOT","AGRWTH","Q","1978-Q1",9.204782,
"FRA","CPI","TOT","AGRWTH","Q","1978-Q2",8.987108,
"FRA","CPI","TOT","AGRWTH","Q","1978-Q3",9.300234,
"FRA","CPI","TOT","AGRWTH","Q","1978-Q4",9.496911,
"FRA","CPI","TOT","AGRWTH","Q","1979-Q1",10.14946,
"FRA","CPI","TOT","AGRWTH","Q","1979-Q2",10.12166,
"FRA","CPI","TOT","AGRWTH","Q","1979-Q3",10.73074,
"FRA","CPI","TOT","AGRWTH","Q","1979-Q4",11.52668,
"FRA","CPI","TOT","AGRWTH","Q","1980-Q1",13.31536,
"FRA","CPI","TOT","AGRWTH","Q","1980-Q2",13.71311,
"FRA","CPI","TOT","AGRWTH","Q","1980-Q3",13.62169,
"FRA","CPI","TOT","AGRWTH","Q","1980-Q4",13.58977,
"FRA","CPI","TOT","AGRWTH","Q","1981-Q1",12.67063,
"FRA","CPI","TOT","AGRWTH","Q","1981-Q2",12.78833,
"FRA","CPI","TOT","AGRWTH","Q","1981-Q3",13.61394,
"FRA","CPI","TOT","AGRWTH","Q","1981-Q4",14.10749,
"FRA","CPI","TOT","AGRWTH","Q","1982-Q1",13.9795,
"FRA","CPI","TOT","AGRWTH","Q","1982-Q2",13.74436,
"FRA","CPI","TOT","AGRWTH","Q","1982-Q3",10.99855,
"FRA","CPI","TOT","AGRWTH","Q","1982-Q4",9.47575,
"FRA","CPI","TOT","AGRWTH","Q","1983-Q1",9.26683,
"FRA","CPI","TOT","AGRWTH","Q","1983-Q2",8.963511,
"FRA","CPI","TOT","AGRWTH","Q","1983-Q3",9.752281,
"FRA","CPI","TOT","AGRWTH","Q","1983-Q4",9.833547,
"FRA","CPI","TOT","AGRWTH","Q","1984-Q1",8.830132,
"FRA","CPI","TOT","AGRWTH","Q","1984-Q2",7.789371,
"FRA","CPI","TOT","AGRWTH","Q","1984-Q3",7.317653,
"FRA","CPI","TOT","AGRWTH","Q","1984-Q4",6.831429,
"FRA","CPI","TOT","AGRWTH","Q","1985-Q1",6.440523,
"FRA","CPI","TOT","AGRWTH","Q","1985-Q2",6.461053,
"FRA","CPI","TOT","AGRWTH","Q","1985-Q3",5.667479,
"FRA","CPI","TOT","AGRWTH","Q","1985-Q4",4.801397,
"FRA","CPI","TOT","AGRWTH","Q","1986-Q1",3.531438,
"FRA","CPI","TOT","AGRWTH","Q","1986-Q2",2.410658,
"FRA","CPI","TOT","AGRWTH","Q","1986-Q3",2.095118,
"FRA","CPI","TOT","AGRWTH","Q","1986-Q4",2.14494,
"FRA","CPI","TOT","AGRWTH","Q","1987-Q1",3.244592,
"FRA","CPI","TOT","AGRWTH","Q","1987-Q2",3.386331,
"FRA","CPI","TOT","AGRWTH","Q","1987-Q3",3.365483,
"FRA","CPI","TOT","AGRWTH","Q","1987-Q4",3.160041,
"FRA","CPI","TOT","AGRWTH","Q","1988-Q1",2.417405,
"FRA","CPI","TOT","AGRWTH","Q","1988-Q2",2.536449,
"FRA","CPI","TOT","AGRWTH","Q","1988-Q3",2.838991,
"FRA","CPI","TOT","AGRWTH","Q","1988-Q4",3.003953,
"FRA","CPI","TOT","AGRWTH","Q","1989-Q1",3.383163,
"FRA","CPI","TOT","AGRWTH","Q","1989-Q2",3.622906,
"FRA","CPI","TOT","AGRWTH","Q","1989-Q3",3.397683,
"FRA","CPI","TOT","AGRWTH","Q","1989-Q4",3.587874,
"FRA","CPI","TOT","AGRWTH","Q","1990-Q1",3.367018,
"FRA","CPI","TOT","AGRWTH","Q","1990-Q2",3.023542,
"FRA","CPI","TOT","AGRWTH","Q","1990-Q3",3.092998,
"FRA","CPI","TOT","AGRWTH","Q","1990-Q4",3.294841,
"FRA","CPI","TOT","AGRWTH","Q","1991-Q1",3.36004,
"FRA","CPI","TOT","AGRWTH","Q","1991-Q2",3.290976,
